,datetime,link,rain,temp,humid,visibility,dew_point,cloud,vaper_press,ground_temp,sun_diff_angle,sun_elevation,speed,label
0,2020.1.1 9:45,1030031000,0.0,-4.3,70,736,-8.9,9,3.1,-1.6,32.90561654,17.92052505,8.0,0
1,2020.1.1 9:50,1020008401,0.0,-4.3,70,736,-8.9,9,3.1,-1.6,159.6205755,18.30260486,24.0,0
2,2020.1.1 11:45,1170031700,0.0,-3.4,75,613,-7.2,9,3.6,-0.4,87.34272323,28.46000728,24.0,0
3,2020.1.1 12:00,1100083600,0.1,-2.2,72,1117,-6.5,9,3.8,-0.1,113.7363031,29.07257759,19.0,0
4,2020.1.1 12:20,1220094900,0.1,-2.2,72,1117,-6.5,9,3.8,-0.1,129.5637197,29.50287445,15.0,0
5,2020.1.1 13:20,1160002103,0.1,-1.0,67,1209,-6.3,9,3.8,0.4,82.41429143,28.70101667,31.0,0
6,2020.1.1 13:50,1010007404,0.1,-1.0,67,1209,-6.3,9,3.8,0.4,125.9668165,27.16909083,24.0,0
7,2020.1.1 13:55,1010008904,0.1,-1.0,67,1209,-6.3,9,3.8,0.4,57.10670695,26.8342305,27.0,0
8,2020.1.1 13:55,1040040000,0.1,-1.0,67,1209,-6.3,9,3.8,0.4,73.40600775,26.62369409,38.0,0
9,2020.1.1 14:00,1090007303,0.1,-0.4,65,1226,-6.1,9,3.9,0.4,24.34519015,26.33190642,21.0,0
10,2020.1.1 14:15,1180071800,0.1,-0.4,65,1226,-6.1,9,3.9,0.4,17.62248845,25.2134754,18.0,0
11,2020.1.1 14:30,1080032200,0.1,-0.4,65,1226,-6.1,9,3.9,0.4,35.91902039,23.9500094,15.0,0
12,2020.1.1 15:05,1240055102,0.1,0.3,62,1179,-6.1,9,3.9,0.8,43.5905287,19.73642114,80.0,0
13,2020.1.1 15:25,1240057100,0.1,0.3,62,1179,-6.1,9,3.9,0.8,151.0501704,17.74377978,78.0,0
14,2020.1.1 15:40,1130052000,0.1,0.3,62,1179,-6.1,9,3.9,0.8,66.82604511,15.75263552,2.0,0
15,2020.1.1 15:50,1190033900,0.1,0.3,62,1179,-6.1,9,3.9,0.8,122.0839788,13.79556183,13.0,0
16,2020.1.1 16:20,1130068000,0.1,0.3,64,1137,-5.7,9,4.0,0.1,75.52984936,9.933953233,44.0,0
17,2020.1.1 16:20,1160052800,0.1,0.3,64,1137,-5.7,9,4.0,0.1,89.86321161,9.933953233,22.0,0
18,2020.1.1 16:30,1230006902,0.1,0.3,64,1137,-5.7,9,4.0,0.1,34.73347192,8.220043327,11.0,0
19,2020.1.1 17:05,1100028802,0.1,0.2,65,1128,-5.6,9,4.0,-0.2,160.9481238,2.3243569,21.0,0
20,2020.1.1 19:55,1070003901,0.1,0.1,65,1055,-5.7,9,4.0,-0.1,96.4718137,0.0,21.0,0
21,2020.1.1 20:35,1000018403,0.1,0.0,67,1005,-5.4,9,4.1,-0.1,11.31345373,0.0,22.0,0
22,2020.1.2 7:35,1010008101,0.1,-0.5,65,993,-6.2,9,3.8,-0.6,135.4291048,0.0,25.0,0
23,2020.1.2 8:05,1000000502,0.1,-0.4,67,907,-5.7,9,4.0,-0.6,150.282908,2.536398071,20.0,0
24,2020.1.2 8:05,1000021002,0.1,-0.4,67,907,-5.7,9,4.0,-0.6,74.23893177,2.874082801,28.0,0
25,2020.1.2 8:30,1150011702,0.1,-0.4,67,907,-5.7,9,4.0,-0.6,150.2017069,6.831940607,23.0,0
26,2020.1.2 9:20,1200013800,0.1,-0.1,67,890,-5.5,9,4.1,-0.3,149.6525578,13.99175561,37.0,0
27,2020.1.2 9:35,1240033200,0.1,-0.1,67,890,-5.5,9,4.1,-0.3,110.7503537,16.61917119,23.0,0
28,2020.1.2 10:00,1180049700,0.1,-0.1,67,890,-5.5,9,4.1,-0.3,29.5513566,19.4337139,40.0,0
29,2020.1.2 10:05,1210061400,0.1,0.7,62,876,-5.7,9,4.0,-0.2,108.7754022,20.15504236,10.0,0
30,2020.1.2 10:05,1080012401,0.1,0.7,62,876,-5.7,9,4.0,-0.2,101.3690016,20.39083568,26.0,0
31,2020.1.2 10:25,1110011400,0.1,0.7,62,876,-5.7,9,4.0,-0.2,91.32700308,22.18992326,28.0,0
32,2020.1.2 10:55,1160054600,0.1,0.7,62,876,-5.7,9,4.0,-0.2,81.81215802,25.282686,22.0,0
33,2020.1.2 11:45,1130010601,0.1,1.7,57,854,-5.9,9,3.9,0.0,118.5704115,28.47298097,23.0,0
34,2020.1.2 11:55,1010003204,0.1,1.7,57,854,-5.9,9,3.9,0.0,122.1661022,28.9694826,14.0,0
35,2020.1.2 12:10,1130002701,0.1,2.5,56,803,-5.4,9,4.1,0.9,38.10336861,29.38734272,25.0,0
36,2020.1.2 12:25,1020013501,0.1,2.5,56,803,-5.4,9,4.1,0.9,45.34237489,29.66379806,25.0,0
37,2020.1.2 13:05,1190041100,0.1,3.4,56,720,-4.5,9,4.4,1.7,106.3190391,29.27272908,57.0,0
