,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
0,2020-01-01 9:45,1030031000,0,0,110.0888,0,0,1,0,0,0,0,0
1,2020-01-01 9:50,1020008401,1,1,128.7013,0,0,1,0,1,0,1,0
3,2020-01-01 11:45,1170031700,0,0,263.3715,1,0,1,0,1,0,0,0
4,2020-01-01 12:00,1100083600,0,3,469.5036,1,0,1,1,0,1,0,0
5,2020-01-01 12:20,1220094900,0,3,404.3517,1,0,1,1,1,0,1,0
7,2020-01-01 13:20,1160002103,3,1,110.2166,0,0,0,0,1,0,0,0
8,2020-01-01 13:50,1010007404,3,1,105.7112,0,0,1,0,1,0,1,0
9,2020-01-01 13:55,1010008904,3,1,87.3317,0,0,1,0,1,0,1,0
9,2020-01-01 13:55,1010008904,3,1,87.3317,0,0,1,0,1,0,1,0
11,2020-01-01 14:00,1090007303,0,3,263.848,0,0,1,0,0,0,1,0
12,2020-01-01 14:15,1180071800,1,2,191.8877,1,0,0,0,1,0,0,0
13,2020-01-01 14:30,1080032200,0,4,378.9984,0,0,1,1,1,0,1,0
15,2020-01-01 15:05,1240055102,2,5,289.0278,0,0,0,0,0,0,0,0
17,2020-01-01 15:25,1240057100,3,5,465.4836,0,0,0,0,0,0,0,0
18,2020-01-01 15:40,1130052000,1,3,362.9664,0,0,1,1,1,0,1,0
19,2020-01-01 15:50,1190033900,1,3,214.2173,0,1,0,0,0,0,1,0
20,2020-01-01 16:20,1130068000,1,0,130.4973,0,0,0,0,0,0,0,0
20,2020-01-01 16:20,1130068000,1,0,130.4973,0,0,0,0,0,0,0,0
22,2020-01-01 16:30,1230006902,1,1,155.8201,1,0,0,0,0,0,1,0
24,2020-01-01 17:05,1100028802,3,1,115.9373,0,0,0,1,0,0,0,0
27,2020-01-01 19:55,1070003901,0,3,246.5062,1,0,1,0,1,0,1,0
28,2020-01-01 20:35,1000018403,0,3,420.0884,1,0,1,1,1,0,1,0
30,2020-01-02 7:35,1010008101,1,1,62.5126,0,0,0,0,0,0,0,0
32,2020-01-02 8:05,1000000502,1,1,180.5511,0,0,1,0,0,0,1,0
32,2020-01-02 8:05,1000000502,1,1,180.5511,0,0,1,0,0,0,1,0
34,2020-01-02 8:30,1130078800,0,3,69.0286,0,0,1,0,0,0,0,0
38,2020-01-02 9:20,1200013800,1,0,676.3998,0,0,1,1,0,0,0,0
39,2020-01-02 9:35,1240033200,0,3,101.1878,1,0,0,0,0,0,0,0
40,2020-01-02 10:00,1180049700,0,3,196.8319,0,0,1,0,0,0,0,0
41,2020-01-02 10:05,1210061400,1,4,84.7532,0,0,0,0,1,0,0,0
41,2020-01-02 10:05,1210061400,1,4,84.7532,0,0,0,0,1,0,0,0
43,2020-01-02 10:25,1110011400,3,1,479.4477,1,0,1,1,1,0,1,0
45,2020-01-02 10:55,1160054600,0,4,990.1547,1,0,1,1,1,0,1,0
46,2020-01-02 11:45,1130010601,0,0,99.2709,0,0,1,0,1,0,0,0
47,2020-01-02 11:55,1010003204,0,3,434.7091,1,0,1,1,1,0,1,0
48,2020-01-02 12:10,1130002701,2,1,274.4234,1,0,1,1,0,1,1,0
49,2020-01-02 12:25,1050048100,0,3,701.9448,0,1,1,1,1,0,1,0
52,2020-01-02 13:05,1190041100,1,1,540.7439,0,0,0,0,1,0,1,0
54,2020-01-02 13:45,1140046900,1,1,148.6866,0,0,0,0,0,0,0,0
54,2020-01-02 13:45,1140046900,1,1,148.6866,0,0,0,0,0,0,0,0
56,2020-01-02 13:50,1040013400,3,1,337.4705,1,0,1,0,1,0,1,0
57,2020-01-02 14:20,1230430700,0,4,189.4976,0,0,0,0,1,0,1,0
60,2020-01-02 15:00,1040015301,1,1,464.8453,1,1,1,1,1,0,1,0
