,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
1,2020-01-01 9:50,1080007402,1,1,131.6112,0,0,1,0,0,0,1,1
3,2020-01-01 11:45,1210007302,0,1,520.0327,0,1,1,0,0,0,1,1
4,2020-01-01 12:00,1000032700,0,1,240.7004,1,0,1,1,1,0,1,1
6,2020-01-01 12:45,1210066100,2,2,1335.1718,1,0,1,1,0,1,1,1
7,2020-01-01 13:20,1180105601,0,1,273.6984,0,0,0,0,0,0,0,1
8,2020-01-01 13:50,1080002802,1,1,418.1434,0,0,1,0,1,0,1,1
9,2020-01-01 13:55,1230017205,1,1,247.9485,1,0,1,0,1,0,1,1
9,2020-01-01 13:55,1230017205,1,1,247.9485,1,0,1,0,1,0,1,1
12,2020-01-01 14:15,1060009501,0,1,238.3809,0,0,1,1,1,0,1,1
14,2020-01-01 14:40,1210004802,3,3,1563.2767,0,0,1,1,1,0,1,1
15,2020-01-01 15:05,1220034302,4,1,199.2885,0,0,1,0,1,0,1,1
16,2020-01-01 15:15,1100002502,0,2,189.5862,0,0,0,0,0,0,0,1
17,2020-01-01 15:25,1220036104,1,1,110.0682,0,0,0,0,0,0,1,1
19,2020-01-01 15:50,1110014206,2,0,299.9276,1,0,1,1,0,0,1,1
20,2020-01-01 16:20,1010005201,1,1,79.7906,0,0,0,0,1,0,1,1
20,2020-01-01 16:20,1010005201,1,1,79.7906,0,0,0,0,1,0,1,1
22,2020-01-01 16:30,1180119300,0,1,46.9659,0,0,0,0,0,0,0,1
24,2020-01-01 17:05,1030009400,2,2,627.6492,0,1,1,0,1,0,1,1
25,2020-01-01 18:15,1130008501,1,1,273.7465,0,0,1,1,1,0,1,1
26,2020-01-01 19:35,1180067800,0,1,456.5974,0,0,0,1,1,0,1,1
28,2020-01-01 20:35,1020001002,3,3,707.0388,0,0,1,1,1,0,1,1
29,2020-01-02 7:05,1020000101,3,3,1177.3525,1,0,1,1,1,1,1,1
30,2020-01-02 7:35,1030001902,3,3,1118.7726,0,0,1,1,1,1,1,1
31,2020-01-02 7:40,1000006102,1,1,80.9992,0,0,0,0,0,0,1,1
32,2020-01-02 8:05,1030002001,3,3,604.6409,0,0,1,0,1,0,0,1
34,2020-01-02 8:30,1150001802,3,1,557.731,1,0,1,0,1,0,1,1
34,2020-01-02 8:30,1150001802,3,1,557.731,1,0,1,0,1,0,1,1
36,2020-01-02 9:05,1210016003,3,1,127.0814,0,0,1,0,1,0,0,1
37,2020-01-02 9:10,1120001300,1,4,2346.8622,0,0,1,1,1,1,1,1
38,2020-01-02 9:20,1000043300,2,0,1183.3627,1,0,1,0,1,0,1,1
40,2020-01-02 10:00,1070015901,1,1,262.7912,0,0,1,0,0,0,1,1
41,2020-01-02 10:05,1070015901,1,1,262.7912,0,0,1,0,0,0,1,1
41,2020-01-02 10:05,1070015901,1,1,262.7912,0,0,1,0,0,0,1,1
43,2020-01-02 10:25,1210017604,3,1,155.3094,0,0,0,0,0,0,0,1
43,2020-01-02 10:25,1210017604,3,1,155.3094,0,0,0,0,0,0,0,1
46,2020-01-02 11:45,1050021004,0,2,69.1464,0,0,0,1,0,0,0,1
49,2020-01-02 12:25,1110008001,0,1,826.316,1,1,1,1,1,1,1,1
